paper_name,detection_folder,observation_datetimes,detection_time,detection_mjd,bary_mjd,detection_dm,detection_downsampling,detection_snr,filename,file_location,t_peak,iquv,xyphase,bandpass,lofar_obs,struct_opt_dm,struct_opt_dm_err,width_ms,snr,fluence_Jyms,fluence_err,flux_Jy,flux_err,ncomp,drift_rate,drift_rate_err,drift_trust,fluct_id_low,fluct_id_high,freq_id_low,freq_id_high,t0,t1,ds_freq,ds_time,delta_dm,smooth,phase_16.29_58369.9
A32,2020-05-28-05:13:48.R3,2020-05-28T05:13:48.0,4728.98,58997.2726502315,58997.26968437,349.56,10,29.9,,/tank/data/FRBs/R3/20200528/2020-05-28-05:13:48.R3/snippet/all/CB00_10.0sec_dm0_t04729_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200528/2020-05-28-05:13:48.R3/iquv/numpyarr/R3_mjd58997.272625_dedisp348.80.npy,/tank/data/FRBs/R3/20200527/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200527/polcal/bandpass.npy,,348.758237968082,0.247110109687165,0.74,29.69,14.02,2.8,21.42,2.14,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.40793
A33,2020-05-28-08:19:28.R3,2020-05-28T08:19:28.0,1220.04,58997.3609726852,58997.3580078,349.89,5,29.2,CB00_10.0sec_dm0_t01220_sb-1_tab00,/tank/data/FRBs/R3/20200528/2020-05-28-08:19:28.R3/snippet/all/CB00_10.0sec_dm0_t01220_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200528/2020-05-28-08:19:28.R3/iquv/numpyarr/R3_mjd58997.360956_dedisp348.80.npy,/tank/data/FRBs/R3/20200527/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200527/polcal/bandpass.npy,,348.871867356181,0.166370359236898,0.49,34.77,13.78,2.76,30.73,3.07,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.41333
A34,2020-05-28-08:19:28.R3,2020-05-28T08:19:28.0,3843.53,58997.3913371528,58997.38837259,349.09,5,20.92,CB00_10.0sec_dm0_t03843_sb-1_tab00,/tank/data/FRBs/R3/20200528/2020-05-28-08:19:28.R3/snippet/all/CB00_10.0sec_dm0_t03843_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200528/2020-05-28-08:19:28.R3/iquv/numpyarr/R3_mjd58997.391320_dedisp348.80.npy,/tank/data/FRBs/R3/20200527/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200527/polcal/bandpass.npy,,348.748808667718,0.181232029281199,0.25,27.13,3.49,0.7,33.91,3.39,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.41519
A35,2020-05-29-03:20:12.R3,2020-05-29T03:20:12,1815.15,58998.1600364583,58998.15708057,350.16,,10.36,,/tank/data/FRBs/R3/20200529/2020-05-29-03:20:12.R3/snippet/CB00_10.0sec_dm0_t01815_sb-1_tab00.fil,5,,,,,348.687871395237,0.262558656302656,0.82,8.05,5.79,1.16,5.69,0.57,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.46221
A36,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42,4857.39,59095.0108725694,59095.01258701,350.5,,8.48,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t04857_sb35_tab00.fil,5,,,,,348.208832855065,0.420273400126795,1.39,10.21,17.71,3.54,3.57,0.36,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38609
A37,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42.0,5192.88,59095.0147555556,59095.01647024,349,25,10.33,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t05192_sb35_tab00.fil,5,,,,,348.700073404275,0.395875427810538,3.28,12.53,7.16,1.43,1.73,0.17,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38633
A38,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42.0,6434.03,59095.0291207176,59095.0308363,353.74,25,27.35,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t06434_sb35_tab00.fil,5,,,,,348.714385382682,0.272349503707783,1.88,29.81,7.52,1.5,5.43,0.54,3,-37.4524,0.8854,TRUE,10,150,0,1536,400,1221,8,1,0,0,0.38721
A39,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42.0,6465.38,59095.0294835648,59095.03119917,349.49,5,28.2,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t06465_sb35_tab00.fil,5,,,,,348.728332634191,0.113101015556904,2.05,27.83,17.93,3.59,4.87,0.49,2,-29.2676,,FALSE,10,150,0,1536,400,1221,8,1,0,0,0.38723
A40,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42.0,7928.61,59095.0464190972,59095.04813576,348.8,5,25.77,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t07928_sb35_tab00.fil,5,,,,,348.740049603394,0.155287835374561,0.41,38.6,4.25,0.85,15.09,1.51,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38827
A41,2020-09-02-22:54:42.FRB180916.J0158+65,2020-09-02T22:54:42.0,9163.45,59095.0607112269,59095.06242878,351.34,25,11.43,,/tank/data/FRBs/R3/20200902/filterbank/2020-09-02-22:54:42.FRB180916.J0158+65/CB00_10.0sec_dm0_t09163_sb35_tab00.fil,5,/tank/data/FRBs/R3/20200902/iquv/2020-09-02-22:54:42.FRB180916.J0158+65/CB00//numpyarr/FRB180916.J0158+65_mjd59095.060691_dedisp348.80.npy,/tank/data/sky/3C286/20200901/iquv/polcal/xy_phase.npy,/tank/data/sky/3C286/20200901/iquv/polcal/bandpass.npy,,348.635642729353,0.264767663444941,1.31,16.52,5.27,1.05,3.61,0.36,2,,,FALSE,10,150,0,1536,400,1221,8,1,0,0,0.38914
